ordem,index,x,y
184,184,71.0,129.0
185,185,70.0,129.0
186,186,69.0,129.0
187,187,68.0,129.0
188,188,67.0,129.0
189,189,66.0,129.0
190,190,65.0,129.0
191,191,64.0,129.0
192,192,63.0,129.0
193,193,62.0,129.0
194,194,61.0,129.0
195,195,60.0,129.0
196,196,59.0,129.0
197,197,58.0,129.0
198,198,57.0,129.0
199,199,56.0,129.0
200,200,55.0,129.0
201,201,54.0,129.0
202,202,53.0,129.0
203,203,52.0,129.0
204,204,51.0,129.0
205,205,50.0,129.0
206,206,49.0,129.0
207,207,48.0,129.0
208,208,47.0,129.0
209,209,46.0,129.0
210,210,45.0,129.0
211,211,44.0,129.0
212,212,43.0,129.0
213,213,42.0,129.0
214,214,41.0,129.0
215,215,40.0,129.0
216,216,39.0,129.0
217,217,38.0,129.0
218,218,37.0,129.0
219,219,36.0,129.0
220,220,35.0,129.0
221,221,34.0,129.0
222,222,33.0,129.0
223,223,32.0,129.0
224,224,31.0,129.0
225,225,30.0,129.0
226,226,29.0,129.0
227,227,28.0,129.0
228,228,27.0,129.0
229,229,26.0,129.0
230,230,25.0,129.0
231,231,24.0,129.0
232,232,23.0,129.0
233,233,22.0,129.0
234,234,21.0,129.0
235,235,20.0,129.0
236,236,19.0,129.0
237,237,18.0,129.0
238,238,17.0,129.0
239,239,16.0,129.0
240,240,15.0,129.0
241,241,14.0,129.0
242,242,13.0,129.0
243,243,12.0,129.0
244,244,11.0,129.0
245,245,10.0,129.0
246,246,9.0,129.0
247,247,8.0,129.0
248,248,7.0,129.0
249,249,7.0,221.0
250,250,8.0,221.0
251,251,9.0,221.0
252,252,10.0,221.0
253,253,11.0,221.0
254,254,12.0,221.0
255,255,13.0,221.0
256,256,14.0,221.0
257,257,15.0,221.0
258,258,16.0,221.0
259,259,17.0,221.0
260,260,18.0,221.0
261,261,19.0,221.0
262,262,20.0,221.0
263,263,21.0,221.0
264,264,22.0,221.0
265,265,23.0,221.0
266,266,24.0,221.0
267,267,25.0,221.0
268,268,26.0,221.0
269,269,27.0,221.0
270,270,28.0,221.0
271,271,29.0,221.0
272,272,30.0,221.0
273,273,31.0,221.0
274,274,32.0,221.0
275,275,33.0,221.0
276,276,34.0,221.0
277,277,35.0,221.0
278,278,36.0,221.0
279,279,37.0,221.0
280,280,38.0,221.0
281,281,39.0,221.0
282,282,40.0,221.0
283,283,41.0,221.0
284,284,42.0,221.0
285,285,43.0,221.0
286,286,44.0,221.0
287,287,45.0,221.0
288,288,46.0,221.0
289,289,47.0,221.0
290,290,48.0,221.0
291,291,49.0,221.0
292,292,50.0,221.0
293,293,51.0,221.0
294,294,52.0,221.0
295,295,53.0,221.0
296,296,54.0,221.0
297,297,55.0,221.0
298,298,56.0,221.0
299,299,57.0,221.0
300,300,58.0,221.0
301,301,59.0,221.0
302,302,60.0,221.0
303,303,61.0,221.0
304,304,62.0,221.0
305,305,63.0,221.0
306,306,64.0,221.0
307,307,65.0,221.0
308,308,66.0,221.0
309,309,67.0,221.0
310,310,68.0,221.0
311,311,69.0,221.0
312,312,70.0,221.0
313,313,71.0,221.0
314,314,72.0,221.0
315,315,73.0,221.0
316,316,74.0,221.0
317,317,75.0,221.0
318,318,76.0,221.0
319,319,77.0,221.0
320,320,78.0,221.0
321,321,79.0,221.0
322,322,80.0,221.0
323,323,81.0,221.0
324,324,82.0,221.0
325,325,83.0,221.0
326,326,84.0,221.0
327,327,85.0,221.0
328,328,86.0,221.0
329,329,87.0,221.0
330,330,88.0,221.0
331,331,89.0,221.0
332,332,90.0,221.0
333,333,91.0,221.0
334,334,92.0,221.0
335,335,93.0,221.0
336,336,94.0,221.0
337,337,95.0,221.0
338,338,96.0,221.0
339,339,97.0,221.0
340,340,98.0,221.0
341,341,99.0,221.0
342,342,100.0,221.0
343,343,101.0,221.0
344,344,102.0,221.0
345,345,103.0,221.0
346,346,104.0,221.0
347,347,105.0,221.0
348,348,106.0,221.0
349,349,107.0,221.0
350,350,108.0,221.0
351,351,109.0,221.0
352,352,110.0,221.0
353,353,111.0,221.0
354,354,112.0,221.0
355,355,113.0,221.0
356,356,114.0,221.0
357,357,115.0,221.0
358,358,116.0,221.0
359,359,117.0,221.0
360,360,118.0,221.0
361,361,119.0,221.0
362,362,120.0,221.0
363,363,121.0,221.0
364,364,122.0,221.0
365,365,123.0,221.0
366,366,124.0,221.0
367,367,125.0,221.0
368,368,126.0,221.0
369,369,127.0,221.0
370,370,128.0,221.0
371,371,129.0,221.0
372,372,130.0,221.0
373,373,131.0,221.0
374,374,132.0,221.0
375,375,133.0,221.0
376,376,134.0,221.0
377,377,135.0,221.0
378,378,136.0,221.0
379,379,137.0,221.0
380,380,138.0,221.0
381,381,139.0,221.0
382,382,140.0,221.0
383,383,141.0,221.0
384,384,142.0,221.0
385,385,143.0,221.0
386,386,144.0,221.0
387,387,145.0,221.0
388,388,146.0,221.0
389,389,147.0,221.0
390,390,148.0,221.0
391,391,149.0,221.0
392,392,150.0,221.0
393,393,151.0,221.0
394,394,152.0,221.0
395,395,153.0,221.0
396,396,154.0,221.0
397,397,155.0,221.0
398,398,156.0,221.0
399,399,157.0,221.0
400,400,158.0,221.0
401,401,159.0,221.0
402,402,160.0,221.0
403,403,161.0,221.0
404,404,162.0,221.0
405,405,163.0,221.0
406,406,164.0,221.0
407,407,165.0,221.0
408,408,166.0,221.0
409,409,167.0,221.0
410,410,168.0,221.0
411,411,169.0,221.0
412,412,170.0,221.0
413,413,171.0,221.0
414,414,172.0,221.0
415,415,173.0,221.0
416,416,174.0,221.0
417,417,175.0,221.0
418,418,176.0,221.0
419,419,177.0,221.0
420,420,178.0,221.0
421,421,179.0,221.0
422,422,180.0,221.0
423,423,181.0,221.0
424,424,182.0,221.0
425,425,183.0,221.0
426,426,184.0,221.0
427,427,185.0,221.0
428,428,186.0,221.0
429,429,187.0,221.0
430,430,188.0,221.0
431,431,189.0,221.0
432,432,190.0,221.0
433,433,191.0,221.0
434,434,192.0,221.0
435,435,193.0,221.0
436,436,194.0,221.0
437,437,195.0,221.0
438,438,196.0,221.0
439,439,197.0,221.0
440,440,198.0,221.0
441,441,199.0,221.0
442,442,200.0,221.0
443,443,201.0,221.0
444,444,202.0,221.0
445,445,203.0,221.0
446,446,204.0,221.0
447,447,205.0,221.0
448,448,206.0,221.0
449,449,207.0,221.0
450,450,208.0,221.0
451,451,209.0,221.0
452,452,210.0,221.0
453,453,211.0,221.0
454,454,212.0,221.0
455,455,213.0,221.0
456,456,214.0,221.0
457,457,215.0,221.0
458,458,216.0,221.0
459,459,217.0,221.0
460,460,218.0,221.0
461,461,219.0,221.0
462,462,220.0,221.0
463,463,221.0,221.0
464,464,222.0,221.0
465,465,223.0,221.0
466,466,224.0,221.0
467,467,225.0,221.0
468,468,226.0,221.0
469,469,227.0,221.0
470,470,228.0,221.0
471,471,229.0,221.0
472,472,230.0,221.0
473,473,231.0,221.0
474,474,232.0,221.0
475,475,233.0,221.0
476,476,234.0,221.0
477,477,235.0,221.0
478,478,236.0,221.0
479,479,237.0,221.0
480,480,238.0,221.0
481,481,239.0,221.0
482,482,240.0,221.0
483,483,241.0,221.0
484,484,242.0,221.0
485,485,243.0,221.0
486,486,244.0,221.0
487,487,245.0,221.0
488,488,246.0,221.0
489,489,247.0,221.0
490,490,248.0,221.0
491,491,249.0,221.0
492,492,250.0,221.0
493,493,251.0,221.0
494,494,252.0,221.0
495,495,253.0,221.0
496,496,254.0,221.0
497,497,255.0,221.0
498,498,256.0,221.0
499,499,257.0,221.0
500,500,258.0,221.0
501,501,259.0,221.0
502,502,260.0,221.0
503,503,261.0,221.0
504,504,262.0,221.0
505,505,263.0,221.0
506,506,264.0,221.0
507,507,265.0,221.0
508,508,266.0,221.0
509,509,267.0,221.0
510,510,268.0,221.0
511,511,269.0,221.0
512,512,270.0,221.0
513,513,271.0,221.0
514,514,272.0,221.0
515,515,273.0,221.0
516,516,274.0,221.0
517,517,275.0,221.0
518,518,276.0,221.0
519,519,277.0,221.0
520,520,278.0,221.0
521,521,279.0,221.0
529,529,287.0,221.0
530,530,288.0,221.0
531,531,289.0,221.0
532,532,290.0,221.0
533,533,291.0,221.0
534,534,292.0,221.0
535,535,293.0,221.0
536,536,294.0,221.0
537,537,295.0,221.0
538,538,296.0,221.0
539,539,297.0,221.0
540,540,298.0,221.0
541,541,299.0,221.0
542,542,300.0,221.0
543,543,301.0,221.0
544,544,302.0,221.0
545,545,303.0,221.0
546,546,304.0,221.0
547,547,305.0,221.0
548,548,306.0,221.0
549,549,307.0,221.0
550,550,308.0,221.0
551,551,309.0,221.0
552,552,310.0,221.0
553,553,311.0,221.0
554,554,312.0,221.0
555,555,313.0,221.0
556,556,314.0,221.0
557,557,315.0,221.0
558,558,316.0,221.0
559,559,317.0,221.0
560,560,318.0,221.0
561,561,319.0,221.0
562,562,320.0,221.0
563,563,321.0,221.0
564,564,322.0,221.0
565,565,323.0,221.0
566,566,324.0,221.0
567,567,325.0,221.0
568,568,326.0,221.0
569,569,327.0,221.0
570,570,328.0,221.0
571,571,329.0,221.0
572,572,330.0,221.0
573,573,331.0,221.0
574,574,332.0,221.0
575,575,333.0,221.0
576,576,334.0,221.0
577,577,335.0,221.0
578,578,336.0,221.0
579,579,337.0,221.0
580,580,338.0,221.0
581,581,339.0,221.0
582,582,340.0,221.0
583,583,341.0,221.0
584,584,342.0,221.0
585,585,343.0,221.0
586,586,344.0,221.0
587,587,345.0,221.0
588,588,346.0,221.0
589,589,347.0,221.0
590,590,348.0,221.0
591,591,349.0,221.0
592,592,350.0,221.0
593,593,351.0,221.0
594,594,352.0,221.0
595,595,353.0,221.0
596,596,354.0,221.0
597,597,355.0,221.0
598,598,356.0,221.0
599,599,357.0,221.0
600,600,358.0,221.0
601,601,359.0,221.0
602,602,360.0,221.0
603,603,361.0,221.0
604,604,362.0,221.0
605,605,363.0,221.0
606,606,364.0,221.0
607,607,365.0,221.0
608,608,366.0,221.0
609,609,367.0,221.0
610,610,368.0,221.0
611,611,369.0,221.0
612,612,370.0,221.0
613,613,371.0,221.0
614,614,372.0,221.0
615,615,373.0,221.0
616,616,374.0,221.0
617,617,375.0,221.0
618,618,376.0,221.0
619,619,377.0,221.0
620,620,378.0,221.0
621,621,379.0,221.0
622,622,380.0,221.0
623,623,381.0,221.0
624,624,382.0,221.0
625,625,383.0,221.0
626,626,384.0,221.0
627,627,385.0,221.0
628,628,386.0,221.0
629,629,387.0,221.0
630,630,388.0,221.0
631,631,389.0,221.0
632,632,390.0,221.0
633,633,391.0,221.0
634,634,392.0,221.0
635,635,393.0,221.0
636,636,394.0,221.0
637,637,395.0,221.0
638,638,396.0,221.0
639,639,397.0,221.0
640,640,398.0,221.0
641,641,399.0,221.0
642,642,400.0,221.0
643,643,401.0,221.0
644,644,402.0,221.0
645,645,403.0,221.0
646,646,404.0,221.0
647,647,405.0,221.0
648,648,406.0,221.0
649,649,407.0,221.0
650,650,408.0,221.0
651,651,409.0,221.0
652,652,410.0,221.0
653,653,411.0,221.0
654,654,412.0,221.0
655,655,413.0,221.0
656,656,414.0,221.0
657,657,415.0,221.0
658,658,416.0,221.0
659,659,417.0,221.0
660,660,418.0,221.0
661,661,419.0,221.0
662,662,420.0,221.0
663,663,421.0,221.0
664,664,422.0,221.0
665,665,423.0,221.0
666,666,424.0,221.0
667,667,425.0,221.0
668,668,426.0,221.0
669,669,427.0,221.0
670,670,428.0,221.0
671,671,429.0,221.0
672,672,430.0,221.0
673,673,431.0,221.0
674,674,432.0,221.0
675,675,433.0,221.0
676,676,434.0,221.0
677,677,435.0,221.0
678,678,436.0,221.0
679,679,437.0,221.0
680,680,438.0,221.0
681,681,439.0,221.0
682,682,440.0,221.0
683,683,441.0,221.0
684,684,442.0,221.0
685,685,443.0,221.0
686,686,444.0,221.0
687,687,445.0,221.0
688,688,446.0,221.0
689,689,447.0,221.0
690,690,448.0,221.0
691,691,449.0,221.0
692,692,450.0,221.0
693,693,451.0,221.0
694,694,452.0,221.0
695,695,453.0,221.0
696,696,454.0,221.0
697,697,455.0,221.0
698,698,456.0,221.0
699,699,457.0,221.0
700,700,458.0,221.0
701,701,459.0,221.0
702,702,460.0,221.0
703,703,461.0,221.0
704,704,462.0,221.0
705,705,463.0,221.0
706,706,464.0,221.0
707,707,465.0,221.0
708,708,466.0,221.0
709,709,467.0,221.0
710,710,468.0,221.0
711,711,469.0,221.0
712,712,470.0,221.0
713,713,471.0,221.0
714,714,472.0,221.0
715,715,473.0,221.0
716,716,474.0,221.0
717,717,475.0,221.0
718,718,476.0,221.0
719,719,477.0,221.0
720,720,478.0,221.0
721,721,479.0,221.0
722,722,480.0,221.0
723,723,481.0,221.0
724,724,482.0,221.0
725,725,483.0,221.0
726,726,484.0,221.0
727,727,485.0,221.0
728,728,486.0,221.0
729,729,487.0,221.0
730,730,488.0,221.0
731,731,489.0,221.0
732,732,490.0,221.0
733,733,491.0,221.0
734,734,492.0,221.0
735,735,493.0,221.0
736,736,494.0,221.0
737,737,495.0,221.0
738,738,496.0,221.0
739,739,497.0,221.0
740,740,498.0,221.0
741,741,499.0,221.0
742,742,500.0,221.0
743,743,501.0,221.0
744,744,502.0,221.0
745,745,503.0,221.0
746,746,504.0,221.0
747,747,505.0,221.0
748,748,506.0,221.0
749,749,507.0,221.0
750,750,508.0,221.0
751,751,509.0,221.0
752,752,510.0,221.0
753,753,511.0,221.0
754,754,512.0,221.0
755,755,513.0,221.0
756,756,514.0,221.0
757,757,515.0,221.0
758,758,516.0,221.0
759,759,517.0,221.0
760,760,518.0,221.0
761,761,519.0,221.0
762,762,520.0,221.0
763,763,520.0,220.0
764,764,520.0,219.0
765,765,520.0,218.0
766,766,520.0,217.0
767,767,520.0,216.0
768,768,520.0,215.0
769,769,520.0,214.0
770,770,520.0,213.0
771,771,520.0,212.0
772,772,520.0,211.0
773,773,520.0,210.0
774,774,520.0,209.0
775,775,520.0,208.0
776,776,520.0,207.0
777,777,520.0,206.0
778,778,520.0,205.0
779,779,520.0,204.0
780,780,520.0,203.0
781,781,520.0,202.0
782,782,520.0,201.0
783,783,520.0,200.0
784,784,520.0,199.0
785,785,520.0,198.0
786,786,520.0,197.0
787,787,520.0,196.0
788,788,520.0,195.0
789,789,520.0,194.0
790,790,520.0,193.0
791,791,520.0,192.0
792,792,520.0,191.0
793,793,520.0,190.0
794,794,520.0,189.0
795,795,520.0,188.0
796,796,520.0,187.0
797,797,520.0,186.0
798,798,520.0,185.0
799,799,520.0,184.0
800,800,520.0,183.0
801,801,520.0,182.0
802,802,520.0,181.0
803,803,520.0,180.0
804,804,520.0,179.0
805,805,520.0,178.0
806,806,520.0,177.0
807,807,520.0,176.0
808,808,520.0,175.0
809,809,520.0,174.0
810,810,520.0,173.0
811,811,520.0,172.0
812,812,520.0,171.0
813,813,520.0,170.0
814,814,520.0,169.0
815,815,520.0,168.0
816,816,520.0,167.0
817,817,520.0,166.0
818,818,520.0,165.0
819,819,520.0,164.0
820,820,520.0,163.0
821,821,520.0,162.0
822,822,520.0,161.0
823,823,520.0,160.0
824,824,520.0,159.0
825,825,520.0,158.0
826,826,520.0,157.0
827,827,520.0,156.0
828,828,520.0,155.0
829,829,520.0,154.0
830,830,520.0,153.0
831,831,520.0,152.0
832,832,520.0,151.0
833,833,520.0,150.0
834,834,520.0,149.0
835,835,520.0,148.0
836,836,520.0,147.0
837,837,520.0,146.0
838,838,520.0,145.0
839,839,520.0,144.0
840,840,520.0,143.0
841,841,520.0,142.0
842,842,520.0,141.0
843,843,520.0,140.0
844,844,520.0,139.0
845,845,520.0,138.0
846,846,520.0,137.0
847,847,520.0,136.0
848,848,520.0,135.0
849,849,520.0,134.0
850,850,520.0,133.0
851,851,520.0,132.0
852,852,520.0,131.0
853,853,520.0,130.0
854,854,520.0,129.0
855,855,519.0,129.0
856,856,518.0,129.0
857,857,517.0,129.0
858,858,516.0,129.0
859,859,515.0,129.0
860,860,514.0,129.0
861,861,513.0,129.0
862,862,512.0,129.0
863,863,511.0,129.0
864,864,510.0,129.0
865,865,509.0,129.0
866,866,508.0,129.0
867,867,507.0,129.0
868,868,506.0,129.0
869,869,505.0,129.0
870,870,504.0,129.0
871,871,503.0,129.0
872,872,502.0,129.0
873,873,501.0,129.0
874,874,500.0,129.0
875,875,499.0,129.0
876,876,498.0,129.0
877,877,497.0,129.0
878,878,496.0,129.0
879,879,495.0,129.0
880,880,494.0,129.0
881,881,493.0,129.0
882,882,492.0,129.0
883,883,491.0,129.0
884,884,490.0,129.0
885,885,489.0,129.0
886,886,488.0,129.0
887,887,487.0,129.0
888,888,486.0,129.0
889,889,485.0,129.0
890,890,484.0,129.0
891,891,483.0,129.0
892,892,482.0,129.0
893,893,481.0,129.0
894,894,480.0,129.0
895,895,479.0,129.0
896,896,478.0,129.0
897,897,477.0,129.0
898,898,476.0,129.0
899,899,475.0,129.0
900,900,474.0,129.0
901,901,473.0,129.0
902,902,472.0,129.0
903,903,471.0,129.0
904,904,470.0,129.0
905,905,469.0,129.0
906,906,468.0,129.0
907,907,467.0,129.0
908,908,466.0,129.0
909,909,465.0,129.0
910,910,464.0,129.0
911,911,463.0,129.0
912,912,462.0,129.0
913,913,461.0,129.0
914,914,460.0,129.0
915,915,459.0,129.0
916,916,458.0,129.0
917,917,457.0,129.0
918,918,456.0,129.0
919,919,455.0,129.0
920,920,454.0,129.0
921,921,453.0,129.0
922,922,452.0,129.0
923,923,451.0,129.0
924,924,450.0,129.0
925,925,449.0,129.0
926,926,448.0,129.0
927,927,447.0,129.0
928,928,446.0,129.0
929,929,445.0,129.0
930,930,444.0,129.0
931,931,443.0,129.0
932,932,442.0,129.0
933,933,441.0,129.0
934,934,440.0,129.0
935,935,439.0,129.0
936,936,438.0,129.0
937,937,437.0,129.0
938,938,436.0,129.0
939,939,435.0,129.0
940,940,434.0,129.0
941,941,433.0,129.0
942,942,432.0,129.0
943,943,431.0,129.0
944,944,430.0,129.0
945,945,429.0,129.0
946,946,428.0,128.0
947,947,427.0,128.0
948,948,426.0,127.0
949,949,425.0,126.0
950,950,424.0,125.0
951,951,423.0,124.0
952,952,422.0,123.0
953,953,421.0,122.0
954,954,421.0,121.0
955,955,420.0,120.0
956,956,419.0,119.0
957,957,418.0,118.0
958,958,417.0,117.0
959,959,416.0,116.0
960,960,415.0,115.0
961,961,414.0,114.0
962,962,413.0,113.0
963,963,412.0,112.0
964,964,411.0,111.0
965,965,410.0,110.0
966,966,409.0,109.0
967,967,408.0,108.0
968,968,407.0,107.0
969,969,406.0,107.0
970,970,405.0,106.0
971,971,404.0,105.0
972,972,403.0,104.0
973,973,402.0,103.0
974,974,401.0,102.0
975,975,400.0,101.0
976,976,399.0,101.0
977,977,398.0,100.0
978,978,397.0,99.0
979,979,396.0,99.0
980,980,395.0,98.0
981,981,394.0,97.0
982,982,393.0,96.0
983,983,392.0,96.0
984,984,391.0,95.0
985,985,390.0,94.0
986,986,389.0,93.0
987,987,388.0,93.0
988,988,387.0,92.0
989,989,386.0,91.0
990,990,385.0,91.0
991,991,384.0,90.0
992,992,383.0,89.0
993,993,382.0,89.0
994,994,381.0,88.0
995,995,380.0,88.0
996,996,379.0,87.0
997,997,378.0,86.0
998,998,377.0,86.0
999,999,376.0,85.0
1000,1000,375.0,84.0
1001,1001,374.0,84.0
1002,1002,373.0,83.0
1003,1003,372.0,83.0
1004,1004,371.0,82.0
1005,1005,370.0,81.0
1006,1006,369.0,81.0
1007,1007,368.0,80.0
1008,1008,367.0,80.0
1009,1009,366.0,79.0
1010,1010,365.0,79.0
1011,1011,364.0,78.0
1012,1012,363.0,78.0
1013,1013,362.0,77.0
1014,1014,361.0,77.0
1015,1015,360.0,76.0
1016,1016,359.0,76.0
1017,1017,358.0,75.0
1018,1018,357.0,75.0
1019,1019,356.0,75.0
1020,1020,355.0,74.0
1021,1021,354.0,74.0
1022,1022,353.0,73.0
1023,1023,352.0,73.0
1024,1024,351.0,72.0
1025,1025,350.0,72.0
1026,1026,349.0,71.0
1027,1027,348.0,71.0
1028,1028,347.0,71.0
1029,1029,346.0,70.0
1030,1030,345.0,70.0
1031,1031,344.0,70.0
1032,1032,343.0,69.0
1033,1033,342.0,69.0
1034,1034,341.0,68.0
1035,1035,340.0,68.0
1036,1036,339.0,68.0
1037,1037,338.0,67.0
1038,1038,337.0,67.0
1039,1039,336.0,67.0
1040,1040,335.0,66.0
1041,1041,334.0,66.0
1042,1042,333.0,66.0
1043,1043,332.0,65.0
1044,1044,331.0,65.0
1045,1045,330.0,65.0
1046,1046,329.0,65.0
1047,1047,328.0,64.0
1048,1048,327.0,64.0
1049,1049,326.0,64.0
1050,1050,325.0,63.0
1051,1051,324.0,63.0
1052,1052,323.0,63.0
1053,1053,322.0,63.0
1054,1054,321.0,62.0
1055,1055,320.0,62.0
1056,1056,319.0,62.0
1057,1057,318.0,62.0
1058,1058,317.0,61.0
1059,1059,316.0,61.0
1060,1060,315.0,61.0
1061,1061,314.0,61.0
1062,1062,313.0,61.0
1063,1063,312.0,60.0
1064,1064,311.0,60.0
1065,1065,310.0,60.0
1066,1066,309.0,60.0
1067,1067,308.0,60.0
1068,1068,307.0,59.0
1069,1069,306.0,59.0
1070,1070,305.0,59.0
1071,1071,304.0,59.0
1072,1072,303.0,59.0
1073,1073,302.0,59.0
1074,1074,301.0,59.0
1075,1075,300.0,58.0
1076,1076,299.0,58.0
1077,1077,298.0,58.0
1078,1078,297.0,58.0
1079,1079,296.0,58.0
1080,1080,295.0,58.0
1081,1081,294.0,58.0
1082,1082,293.0,58.0
1083,1083,292.0,58.0
1084,1084,291.0,57.0
1085,1085,290.0,57.0
1086,1086,289.0,57.0
1087,1087,288.0,57.0
1088,1088,287.0,57.0
1089,1089,286.0,57.0
1090,1090,285.0,57.0
1091,1091,284.0,57.0
1092,1092,283.0,57.0
1093,1093,282.0,57.0
1094,1094,281.0,57.0
1095,1095,280.0,57.0
1096,1096,279.0,57.0
1097,1097,278.0,57.0
1098,1098,277.0,57.0
1099,1099,276.0,57.0
1100,1100,275.0,57.0
1101,1101,274.0,57.0
1102,1102,273.0,57.0
1103,1103,272.0,57.0
1104,1104,271.0,57.0
1105,1105,270.0,57.0
1106,1106,269.0,57.0
1107,1107,268.0,57.0
1108,1108,267.0,57.0
1109,1109,266.0,57.0
1110,1110,265.0,57.0
1111,1111,264.0,57.0
1112,1112,263.0,57.0
1113,1113,262.0,57.0
1114,1114,261.0,57.0
1115,1115,260.0,57.0
1116,1116,259.0,57.0
1117,1117,258.0,57.0
1118,1118,257.0,57.0
1119,1119,256.0,57.0
1120,1120,255.0,57.0
